"Employer Name","CBA File","Location","Union","Expiration Date","NAICS*","#Wrkrs","Type"
"NEW YORK COAT & SUIT ASSOCIATION",96,"MID ATLANTIC","UNITE HERE  89-22-1","May 31, 2001","315212","3000","PRIVATE"
"NEW YORK ELECTRICAL CONTRACTORS ASSOCIATION (CONSTR)",1327,"NY NEW YORK","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 3","May 13, 2004","23821","11000","PRIVATE"
"NEW YORK HISTORICAL SOCIETY",1928,"NY","UAW DIST. 65","Dec 31, 1991","813319","2771","PRIVATE"
"NEW YORK METROPOLITAN AREA TRUCK LEASING ASSOCIATION",3681,"NY","MACHINISTS AFL-CIO (IAM) LODGE 447","Nov 30, 2021",,,"PRIVATE"
"NEW YORK OIL HEATING ASSOCIATION & OIL HEAT INSTITUTE",536,"NY NEW YORK","TEAMSTERS (IBT) LOCAL UNION 553","Dec 15, 2007","424720","1500","PRIVATE"
"NEW YORK PRESBYTERIAN HOSPITAL/COLUMBIA MEDICAL CENTER",851,"NY NEW YORK","ANA/NYSNA  -","Dec 31, 2007","62211","2000","PRIVATE"
"NEW YORK PRESBYTERIAN HOSPITAL/COLUMBIA MEDICAL CENTER",852,"NY NEW YORK","ANA/NYSNA  -","Dec 31, 2004","62211","1650","PRIVATE"
"NEW YORK SKIRT & SPORTSWEAR ASSOCIATION (NATIONAL)",97,"NY NEW YORK","UNITE HERE  23-25","May 31, 2004","315212","1600","PRIVATE"
"NEW YORK STATE ELECTRIC AND GAS CORP",505,"NY UPSTATE","IBEW SYSTEM CNL U-7,1","Jun 30, 2005","221","1987","PRIVATE"
"NEW YORK STOCK EXCHANGE, NEW YORK FUTURES EXCH",720,"NY NEW YORK","OFFICE AND PROFESSIONAL EMPLS AFL-CIO (OPEIU) LOCAL UNION 153","Nov 5, 2005","523120","1000","PRIVATE"
"NEW YORK STRUCTURAL STEEL PAINTING CONTRACTORS ASSOCIATION",1267,"NY SOUTHEAST","PAINTERS AFL-CIO (PAT) DISTRICT COUNCIL 9/PAINTERS AFL-CIO (PAT) LOCAL UNION 806","Sep 30, 2005","23832","1000","PRIVATE"
"NEW YORK TIMES (MOA)",140,"NY NEW YORK","TNG 3","Mar 30, 2011","51111","1600","PRIVATE"
"NEW YORK TRADE SHOW CONTRACTORS ASSOCIATION",1538,"NY NEW YORK","CJA DC OF NYC","Jun 30, 2006","23899","1000","PRIVATE"
"NEW YORK UNIVERSITY (CLERICAL & TECHNICAL)",834,"NY NEW YORK","TEACHERS AFL-CIO (AFT) LOCAL UNION 3882 UCATS","Oct 31, 2011","61131","1500","PRIVATE"
"NEWPORT NEWS SHIPBUILDING & DRY DOCK CO.",345,"NY","USW ","Jun 6, 2004",,,"PRIVATE"
"NEWS & GIFTS R.C.1",2337,"NV","CWU 226","May 31, 2021",,,"PRIVATE"
"NHS HUMAN SERVICES, INC.",2281,"PA","STATE COUNTY AND MUNI EMPLS AFL-CIO (AFSCME) LEADERSHIP COUNCIL 13 PENNSYLVANIA PUBLIC EMPLOYEES","Jun 30, 2017",,,"PRIVATE"
"NIAGARA MOHAWK POWER CORP.",503,"NY","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 97 OSWEGO","Sep 30, 2004",,,"PRIVATE"
"NICHOLAS GALVANIZING COMPANY",1342,"NJ","STEELWORKERS, AFL-CIO (USW) LOCAL UNION 04 8228 S","Jul 31, 2022",,"29","PRIVATE"
"NICOR GAS (INCLUDES MOA)",521,"IL","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 19","Feb 28, 2009","221210","1500","PRIVATE"
"NORANDA ALUMINUM",211,"MO NEW MADRID","STEELWORKERS, AFL-CIO (USW) LOCAL UNION 11 7686 S","Aug 31, 2007","331312","1000","PRIVATE"
"NORFOLK SHIPBUILDING AND DRYDOCK CORP.",352,"VA NORFOLK","BOILERMAKERS AFL-CIO (BBF) LODGE 684","Feb 8, 2007","336611","850","PRIVATE"
"NORLITE NURSING CENTERS OF MARQUETTE, INC.",2236,"MI","STATE COUNTY AND MUNI EMPLS AFL-CIO (AFSCME) LEADERSHIP COUNCIL 25 MICHIGAN","Mar 31, 2020",,,"PRIVATE"
"NORTH MEMORIAL HEALTH CARE",755,"MN ST PAUL","MNA ","May 31, 2007","62211","1000","PRIVATE"
"NORTH TEXAS CONTRACTORS ASSOCIATION.",1420,"TX NORTHCENTRAL","CARPENTERS IND (CJA) LOCAL UNION 429","Apr 30, 2006","23622","1000","PRIVATE"
"NORTH TEXAS CONTRACTORS ASSOCIATION.",1437,"TX NORTHCENTRAL","LABORERS  (LIUNA) LOCAL UNION 648","Apr 30, 2007","23622","1000","PRIVATE"
"NORTHEAST VEHICLE SERVICES",2518,"MA","TRANSIT UNION AFL-CIO (ATU) LOCAL DIVISION 22","Mar 20, 2020",,,"PRIVATE"
"NORTHEASTERN STATES BOILERMAKER EMPLOYERS",1393,"MA & 6 STATES","BBF ","Sep 30, 2003","23892","1100","PRIVATE"
"NORTHERN CA DRYWALL CONTRACTORS ASSOCIATION-42 COUNTIES (DRYWALL)",983,"CA NORTHERN","PAINTERS AFL-CIO (PAT) DISTRICT COUNCIL 16","Jul 31, 2008","23831","2700","PRIVATE"
"NORTHERN CA FLOOR COVERING ASSOCIATION ET. AL.-16 CTYS",1110,"CA NORTHERN","PAINTERS AFL-CIO (PAT) DISTRICT COUNCIL 16/PAINTERS AFL-CIO (PAT) LOCAL UNION 12 CARPET, LINOLEUM, SOFT TILE WORKERS/PAINTERS AFL-CIO (PAT) LOCAL UNION 1237","Jun 30, 2008","23833","1200","PRIVATE"
"NORTHERN CA GLASS MANAGEMENT-FCA",1111,"CA NORTHERN","PAINTERS AFL-CIO (PAT) DISTRICT COUNCIL 16","Jun 21, 2008","23815","1500","PRIVATE"
"NORTHERN CA GLASS MANAGEMENT-FCA",1112,"CA NORTHERN","PAINTERS AFL-CIO (PAT) DISTRICT COUNCIL 16","Jun 30, 2011","23815","1500","PRIVATE"
"NORTHERN CA MECHANICAL CONTRACTORS ASSOCIATION ET.AL.",960,"CA NORTHERN","PLUMBERS AFL-CIO (PPF) LOCAL UNION 342","Jul 30, 2009","23822","2100","PRIVATE"
"NORTHERN CA MECHANICAL CONTRACTORS ASSOCIATION ET.AL.",961,"CA NORTHERN","PLUMBERS AFL-CIO (PPF) LOCAL UNION 342","Jun 30, 2003","23822","2100","PRIVATE"
"NORTHERN CA MECHANICAL CONTRACTORS ASSOCIATION ET.AL.",1996,"CA NORTHERN","UA 38","Jun 30, 2012","23822",,"PRIVATE"
"NORTHERN CA PAINTING & FINISHING CONTRACTORS-14 COUNTIES (PAINTERS)",982,"CA NORTHERN","PAINTERS AFL-CIO (PAT) DISTRICT COUNCIL 16","Jun 30, 2006","23832","2000","PRIVATE"
"NORTHERN CALIFORNIA MAINTENANCE CONTRACT",819,"CA","SERVICE EMPLOYEES (SEIU) LOCAL UNION 1877","Apr 30, 2012",,,"PRIVATE"
"NORTHERN ILLINOIS BUILDING CONTRACTORS ASSOCIATION",1957,"IL","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 150","May 31, 2018",,,"PRIVATE"
"NORTHERN ILLINOIS MASON EMPLOYERS COUNCIL",1193,"IL CHICAGO","BRICKLAYERS AFL-CIO (BAC) DISTRICT COUNCIL 1 ILLINOIS","May 31, 2004","23622","1750","PRIVATE"
"NORTHERN ILLINOIS READY MIX & MATERIALS ASSOCIATION",542,"IL CHICAGO","TEAMSTERS (IBT) LOCAL UNION 786","Apr 30, 2005","23811","1200","PRIVATE"
"NORTHERN ILLINOIS READY-MIX AND MATERIALS ASSOCIATION",2570,"IL","MACHINISTS AFL-CIO (IAM) LODGE 701","May 31, 2019",,,"PRIVATE"
"NORTHERN INDIANA PUBLIC SVC CO (SUBSD OF NIPSCO)",504,"IN","STEELWORKERS, AFL-CIO (USW) LOCAL UNION 07 12775 S","May 31, 2004","221","1500","PRIVATE"
"NORTHERN MINNESOTA CONTRACTORS ASSOCIATION",2492,"MN","LABORERS  (LIUNA) LOCAL UNION 1097","Apr 30, 2020",,,"PRIVATE"
"NORTHERN OHIO PAINTING & TAPING CONTRACTORS ASSOCIATION",1064,"OH CLEVELAND","PAINTERS AFL-CIO (PAT) DISTRICT COUNCIL 6","Apr 30, 2009","23832","1000","PRIVATE"
"NORTHERN OHIO PAINTING & TAPING CONTRACTORS ASSOCIATION",1065,"OH CLEVELAND","PAINTERS AFL-CIO (PAT) DISTRICT COUNCIL 6","Apr 30, 2005","23832","1000","PRIVATE"
"NORTHERN PIPELINE CONSTRUCTION COMPANY",2429,"AZ","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 428","Mar 20, 2017",,,"PRIVATE"
"NORTHROP GRUMMAN SHIP SYSTEMS, INC.",340,"MS PASCAGOULA","MTD -","Mar 4, 2007","336611","5000","PRIVATE"
"NORTHROP GRUMMAN SHIP SYSTEMS, INC.",341,"MS PASCAGOULA","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 733","Mar 11, 2012","336611","1300","PRIVATE"
"NORTHROP GRUMMAN SHIP SYSTEMS, INC.",343,"MS PASCAGOULA","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 733","Mar 4, 2007","336611","1300","PRIVATE"
"NORTHROP GRUMMAN SHIP SYSTEMS, INC.",344,"PASCAGOULA","MTD PASCAGOULA","Mar 7, 2010","336611","1300","PRIVATE"
"NORTHROP GRUMMAN SHIP SYSTEMS, INC.",346,"LA MS","MTD 13 LOCALS","Mar 4, 2007","336611","5200","PRIVATE"
"NORTHWEST FOOD EMPLOYERS, INC. (GROCERY, PRODUCE, DELI)",615,"OR PORTLAND","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 555","Jul 26, 2008","445110","3700","PRIVATE"
"NORTHWEST INDIANA CONTRACTORS ASSOCIATION",1866,"IN","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 692","May 31, 2012","238140","1730","PRIVATE"
"NORTHWEST INDIANA CONTRACTORS ASSOCIATION",1874,"IN","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 692","May 31, 2012","238140","1730","PRIVATE"
"NORTHWEST INDIANA CONTRACTORS ASSOCIATION - AREA 165",1864,"IN","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 692","May 31, 2017","238140","1730","PRIVATE"
"NORTHWEST INDIANA CONTRACTORS ASSOCIATION - AREA 165",1865,"IN","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 692","May 31, 2015","238140","1730","PRIVATE"
"NORTHWEST INDIANA CONTRACTORS ASSOCIATION - AREA 406",1872,"IN","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 692","May 31, 2017","238140","1730","PRIVATE"
"NORTHWEST INDIANA CONTRACTORS ASSOCIATION - AREA 406",1873,"IN","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 692","May 31, 2015","238140","1730","PRIVATE"
"NORTHWEST IRON WORKERS EMPLOYERS ASSOCIATION",1656,"OR WA MT ID","IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 14/IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 29/IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 86","Jun 30, 2005","23819","4000","PRIVATE"
"NORTHWEST MILLWORK COMPANY",2330,"IL","CRCC ","May 31, 2019",,,"PRIVATE"
"NORTHWEST WALL & CEILING CONTRACTORS ASSOCIATION",1140,"WA WESTERN","CARPENTERS IND (CJA) LOCAL UNION 1144","May 31, 2004","23831","2000","PRIVATE"
"NORTHWEST WALL & CEILING CONTRACTORS ASSOCIATION",1847,"WA","OPCMIA LOCAL 528","Jun 30, 2013","238140","1442","PRIVATE"
"NORTHWEST WALL & CEILING CONTRACTORS ASSOCIATION",2471,"WA","CJA RC PACIFIC NORTHWEST","May 31, 2019",,,"PRIVATE"
"NORTHWEST WALL & CEILING CONTRACTORS ASSOCIATION (DRYWALL)",1035,"WA WESTERN","PAINTERS AFL-CIO (PAT) DISTRICT COUNCIL 5","Jun 9, 2004","23831","1000","PRIVATE"
"NORTHWESTERN MUTUAL LIFE INSURANCE CO.",714,"WI MILWAUKEE","OFFICE AND PROFESSIONAL EMPLS AFL-CIO (OPEIU) LOCAL UNION 35","Mar 31, 2007","524113","1600","PRIVATE"
"NSTAR ELEC & GAS CORP (PROD & MAINT/OFF-TECH & PROF)",786,"MA, BOSTON","UTILITY WORKERS AFL-CIO (UWU) LOCAL UNION 387 BOSTON EDISON OFFICE-TECHN & PROFES","Jan 16, 2007","221","1900","PRIVATE"
"NSTAR ELEC & GAS CORP (PROD & MAINT/OFF-TECH & PROF)",787,"MA, BOSTON","UTILITY WORKERS AFL-CIO (UWU) LOCAL UNION 387 BOSTON EDISON OFFICE-TECHN & PROFES","May 15, 2005","221","1900","PRIVATE"
"NYC HEAVY CONSTRUCTION & EXCAVATING CONTRACT",1513,"NY LONG ISLAND","TEAMSTERS (IBT) LOCAL UNION 282","Jun 30, 2006","23731","1000","PRIVATE"
"NYC HEAVY CONSTRUCTION AND EVACUATION",27,"NY NEW YORK","TEAMSTERS (IBT) LOCAL UNION 282","Jun 30, 2006",,,"PRIVATE"
"OAHU TRANSIT SERVICES INC. (OPNG & MAINT) (MOA)",386,"HI OAHU","TEAMSTERS (IBT) LOCAL UNION 996","Jun 30, 2008","485111","1200","PRIVATE"
"OAKLAND PARK COMMUNITIES (NURSING HOME)",3682,"MN","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1189","Dec 31, 2021","623110","65","PRIVATE"
"OAKLEY STEEL PRODUCTS COMPANY",2505,"IL","SHEET METAL, AIR, RAIL AND TRANSPORTATION WORKERS (SMART) LOCAL UNION 73 SM","Jan 15, 2022","332312",,"PRIVATE"
"OHIO CONTRACTORS ASSOCIATION",1407,"OHIO","LIUNA ","Apr 30, 2013",,,"PRIVATE"
"OHIO CONTRACTORS ASSOCIATION",1409,"OHIO","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 18","Apr 30, 2013",,,"PRIVATE"
"OHIO CONTRACTORS ASSOCIATION",1587,"OH","IBT OH CONF","Apr 30, 2004","23731","2500","PRIVATE"
"OHIO CONTRACTORS ASSOCIATION",1588,"OHIO","IBT ","Apr 30, 2013",,,"PRIVATE"
"OHIO CONTRACTORS ASSOCIATION. (HVY-HWY)",1406,"OH","LABORERS  (LIUNA) DISTRICT COUNCIL 0 OHIO","May 1, 2004","23731","12000","PRIVATE"
"OHIO CONTRACTORS ASSOCIATION. (HVY-HWY)",1408,"OH","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 18","Apr 30, 2004","23731","3000","PRIVATE"
"OHIO CONTRACTORS ASSOCIATION. (HVY-HWY)",1586,"OH","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 109/PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 132/PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 404","Apr 30, 2007","23731","2000","PRIVATE"
"OHIO CONTRACTORS ASSOCIATION. (HVY-HWY)",1665,"OH","CJA SW/SC OH DC","Apr 30, 2004","23731","2000","PRIVATE"
"OHIO, THE STATE OF (HEALTH CARE & SOCIAL SERVICE EMPLOYEES)",38,"OH","SERVICE EMPLOYEES (SEIU) LOCAL UNION 1199 NUHHCE, WV/KY/OH","May 31, 2006","622","4500","PRIVATE"
"OHIO, THE STATE OF (STATE TROOPERS)",40,"OH","OSTA-I -","Jun 30, 2006","922120","1215","PRIVATE"
"OLD PORT HOTEL LLC DBA HOLIDAY INN",1238,"NJ","TEAMSTERS (IBT) LOCAL UNION 202","Jul 31, 2007","721110","45","PRIVATE"
"OLIN CORP.",20,"IL","MACHINISTS AFL-CIO (IAM) DISTRICT LODGE 9","Dec 4, 2005","3229","3200","PRIVATE"
"OLIN CORP.",21,"IL","MACHINISTS AFL-CIO (IAM) DISTRICT LODGE 9","Dec 4, 2016","3229","3200","PRIVATE"
"OLIN CORP.",22,"IL","MACHINISTS AFL-CIO (IAM) DISTRICT LODGE 9","Dec 11, 2011","3229","3200","PRIVATE"
"OMEGA/CINEMA PROPS, INC.",2578,"CA","TEAMSTERS (IBT) LOCAL UNION 399 STUDIO TRANSPORTATION DRIVERS LOCAL","May 31, 2024",,"31","PRIVATE"
"ON TARGET SECURITY",2162,"PR BORINQUEN","SPFPA 2003","Sep 30, 2014","541690",,"PRIVATE"
"ONE CORPS, INC.",2161,"PR CAROLINA","SPFPA PR","Jul 1, 2017","541690",,"PRIVATE"
"ONEONTA DAILY STAR",2535,"NY","GCC/IBT 1-L","Mar 31, 2020",,"6","PRIVATE"
"OPEIU LOCAL 537",2568,"CA","IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 433","May 31, 2022",,"6","PRIVATE"
"OPEIU#9 MILWAUKEE DIVISION",2335,"WI","OFFICE AND PROFESSIONAL EMPLS AFL-CIO (OPEIU) LOCAL UNION 9","Jun 1, 2024",,,"PRIVATE"
"OPERA COLORADO",1122,"CO","STAGE AND PICTURE OPERATORS AFL-CIO (IATSE) LOCAL UNION 7","Jun 30, 2022",,"363","PRIVATE"
"OREGON, THE STATE OF (ADMINISTRATIVE SERVICES)",29,"OR","SERVICE EMPLOYEES (SEIU) LOCAL UNION 503","Jun 30, 2007","921190","17750","PRIVATE"
"ORIGINAL DKC ENTERPRISES, LLC",2432,"TX","EROS LABORERS  2","Sep 30, 2017",,,"PRIVATE"
"ORPHEUS CHAMBER ORCHESTRA, INC.",3683,"NY","MUSICIANS AFL-CIO (AFM) LOCAL UNION 802","Aug 31, 2020",,,"PRIVATE"
"OSCAR MAYER FOODS/KRAFT FOODS",48,"WI MADISON","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 538","Dec 10, 2009","311611","2200","PRIVATE"
"OTIS ELEVATOR COMPANY",969,"NY NEW YORK","CWA/IUE 1","Mar 16, 2005","23829","1800","PRIVATE"
"OWENS-BROCKWAY GLASS CONTAINER (PROD-MAINT)",189,"NATIONAL","GMP ","Mar 31, 2008","327213","5000","PRIVATE"
"OWENS-BROCKWAY GLASS CONTAINER INC.",188,"FL","GMP ","Mar 31, 2008",,,"PRIVATE"
"OWENS-BROCKWAY PLASTIC PRODUCTS/OWENS-ILLINOIS",171,"MO GA MD NC IL","GLASS MOLDERS PLASTICS AFL-CIO (GMP) LOCAL UNION 100/GLASS MOLDERS PLASTICS AFL-CIO (GMP) LOCAL UNION 138/GLASS MOLDERS PLASTICS AFL-CIO (GMP) LOCAL UNION 148/GLASS MOLDERS PLASTICS AFL-CIO (GMP) LOCAL UNION 171","Apr 30, 2005","326199","1400","PRIVATE"
"OWENS-CORNING FIBERGLAS CORP.",180,"OH NEWARK","GMP 244","Mar 1, 2007","327993","1000","PRIVATE"
"P AND C FOOD MARKETS",589,"NY UPSTATE","UFCW 1","May 31, 2008","445110","3950","PRIVATE"
"PACIFIC FISHERMEN SHIPYARD & ELECTRIC, LLC (DBA PACIFIC FISHERMEN SHIPYARD, DBA PFI MARINE ELECTRIC",2364,"WA","MTD PUGET SOUNDS","Jul 1, 2019",,,"PRIVATE"
"PACIFIC GAS & ELECTRIC CO. (OFFICE & CLERICAL)",507,"CA","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 1245","Dec 31, 2007","221122","2700","PRIVATE"
"PACIFIC GAS & ELECTRIC CO. (OPERATION, MAINT, & CONST.)",506,"CA","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 1245","Dec 31, 2007","221122","9300","PRIVATE"
"PACIFIC GAS & ELECTRIC CO. (PROFESSIONAL & TECHNICAL))",508,"CA","IFPTE 20","Dec 31, 2007","221122","1600","PRIVATE"
"PACIFIC MARITIME ASSOCIATION (CLERKS) (MOA)",401,"CA OR WA","LONGSHORE AND WAREHOUSE UNION (ILWU) LOCAL UNION 14/LONGSHORE AND WAREHOUSE UNION (ILWU) LOCAL UNION 23/LONGSHORE AND WAREHOUSE UNION (ILWU) LOCAL UNION 29","Jun 27, 2008","488320","1400","PRIVATE"
"PACIFIC MARITIME ASSOCIATION. (LONGSHOREMEN)",402,"CA OR WA","ILWU -","Jul 1, 2008","488320","6400","PRIVATE"
"PACIFIC PISTON RING COMPANY, INC.",2514,"CA","BOILERMAKERS AFL-CIO (BBF) LODGE 67 M","Nov 30, 2019",,,"PRIVATE"
"PACIFIC RAIL SERVICES, LLC",1821,"OR","BOILERMAKERS AFL-CIO (BBF) LODGE 104","Jul 31, 2007","238390","1000","PRIVATE"
"PACIFIC SHIP AND FABRICATING",1822,"CA","MTD ","Jun 30, 2012","221122","1400","PRIVATE"
"PACIFIC SHIP REPAIR",1824,"WA","METAL TRADE  ","Jun 30, 2017",,,"PRIVATE"
"PACIFIC SHIP REPAIR & FABRICATION, INC.",2363,"WA","MTD PACIFIC COAST AND PUGET SOUND","Jun 30, 2017",,,"PRIVATE"
"PACIFIC SHIP REPAIR AND FABRICATING",1823,"WA","BOILERMAKERS AFL-CIO (BBF) LODGE 104","Jun 30, 2009","238390","1000","PRIVATE"
"PACIFIC TELESIS GROUP",434,"NV","CWA -","Apr 1, 2009","517110","32000","PRIVATE"
"PACIFIC TELESIS GROUP (PACIFIC BELL, NV BELL ET AL )",433,"NATIONAL","CWA -","Apr 1, 2004","517110","32000","PRIVATE"
"PACIFICORP ENERGY/ROCKY MOUNTAIN POWER",2265,"WA","UTILITY WORKERS AFL-CIO (UWU) LOCAL UNION 127","Sep 26, 2013",,,"PRIVATE"
"PADCO, INC.",1233,"MA","UBC & JA 336","Jul 1, 2021",,"6","PRIVATE"
"PAE TECHNICAL SERVICES, DENMAR SERVICES INC., AND AMERICAN OPERATIONS CORP.",2090,"OK","MACHINISTS AFL-CIO (IAM) LODGE 898","Aug 6, 2017","336411","1000","PRIVATE"
"PAINTING & DECORATING CONTRACTORS ASSOCIATION",1307,"IL CHICAGO","PAINTERS AFL-CIO (PAT) DISTRICT COUNCIL 14","May 31, 2004","23832","3700","PRIVATE"
"PAINTING & DECORATING CONTRACTORS ASSOCIATION",1312,"MI DETROIT","PAINTERS AFL-CIO (PAT) DISTRICT COUNCIL 22","May 31, 2004","23832","1500","PRIVATE"
"PAINTING & DECORATING CONTRACTORS ASSOCIATION",1731,"MO ST LOUIS","PAINTERS AFL-CIO (PAT) DISTRICT COUNCIL 2","Aug 31, 2010","23832","2200","PRIVATE"
"PAINTING & DECORATING CONTRACTORS ASSOCIATION",1732,"MO ST LOUIS","PAINTERS AFL-CIO (PAT) DISTRICT COUNCIL 2","Aug 31, 2005","23832","2200","PRIVATE"
"PAINTING & DECORATING CONTRACTORS OF AMERICA",1184,"NV CA AZ","UBC CJA PAT  897,1780,1827, 1977 LU 159","Jun 30, 2011","23832","1800","PRIVATE"
"PAINTING & DECORATING CONTRACTORS OF AMERICA",1185,"NV CA AZ","UBC CJA PAT  897,1780,1827, 1837, 1977 LU 159","Jun 30, 2004","23832","1800","PRIVATE"
"PAINTING & FINISHING & GLASS EMPLYRS ASSOCIATION OF NEW ENGLAND",1308,"MA VT NH ME","PAINTERS AFL-CIO (PAT) DISTRICT COUNCIL 35","Jun 30, 2006","23832","3200","PRIVATE"
"PALMAS SERVICES (SAN ANGEL INN AND SPRINGS FOOD SERVICES) (FULL TIME)",2453,"FL","UNITE HERE  737","Mar 31, 2018",,,"PRIVATE"
"PALMAS SERVICES (SAN ANGEL INN AND SPRINGS FOOD SERVICES) (PART TIME)",2454,"FL","UNITE HERE  737","Mar 31, 2018",,,"PRIVATE"
"PARAGON SYSTEMS, INC.",2110,"VA HERNDON","USPOA 210","Sep 30, 2017","541690",,"PRIVATE"
"PARKER HANNIFIN CORPORATION, ENGINEERED POLYMER SYSTEMS DIVISION (EPS)",1232,"NY","ROCHESTER REGIONAL JOINT BOARD  1827","Aug 19, 2023","332721","48","PRIVATE"
"PATHMARK STORE, INC. (MEAT, POULTRY, FISH, DELI)",566,"NJ NY","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 464 A","Aug 18, 2007","445110","1600","PRIVATE"
"PATHMARK STORES INC. (MGRS, CASHIERS, DELI CLKS)",14,"MD","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 27","Jan 26, 2008","445110","1000","PRIVATE"
"PATHMARK STORES INC. (MGRS, CASHIERS, DELI CLKS)",15,"NY NJ","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 27","Jan 22, 2005","445110","1000","PRIVATE"
"PATHMARK STORES, INC. (MOA)",656,"NJ NY","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1262","Apr 18, 2009","445110","7000","PRIVATE"
"PATHMARK, INC.",687,"NY NEW YORK","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1500 UFCW UNION LOCAL 1500","Jun 26, 2010","445110","6000","PRIVATE"
"PATHMARK, INC.",688,"NY NEW YORK","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1500 UFCW UNION LOCAL 1500","Jun 24, 2006","445110","6000","PRIVATE"
"PELLA WINDOWS & DOORS, INC.",2394,"IL","CARPENTERS IND (CJA) LOCAL UNION 1027","May 31, 2021",,,"PRIVATE"
"PENN TRAFFIC INC., RIVERSIDE DIV.",661,"PA WESTERN","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 23","Apr 30, 2003","445110","1350","PRIVATE"
"PENNSYLVANIA HEAVY & HIGHWAY CONTRACTORS ASSOCIATION",1489,"PA HARRISBURG","STEELWORKERS, AFL-CIO (USW) LOCAL UNION 10 1","Dec 31, 2003","23731","1700","PRIVATE"
"PENNSYLVANIA POWER & LIGHT (PPL) CORPORATION",1993,"PA","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 1600","May 13, 2002",,,"PRIVATE"
"PEOPLES ENERGY COMPANY (K AND AMENDMENTS)",509,"IL CHICAGO","SEIU 18007","Apr 30, 2005","221","950","PRIVATE"
"PEPPER CONSTRUCTION COMPANY",1231,"IL","MACHINISTS AFL-CIO (IAM) LODGE 701","Jul 31, 2021",,"26","PRIVATE"
"PEPSI BEVERAGES COMPANY",1130,"NJ","TEAMSTERS (IBT) LOCAL UNION 125","May 15, 2020",,"713","PRIVATE"
"PERFORMANCE CONTRACTING, INC./SAFWAY SERVICES, LLC/BRAND ENERGY SERVICES, LLC",2388,"VA","CJA PACIFIC NORTHWEST REGIONAL COUNCIL","May 31, 2019",,,"PRIVATE"
"PERLICK CORPORATION",2459,"WI","MACHINISTS AFL-CIO (IAM) DISTRICT LODGE 10/MACHINISTS AFL-CIO (IAM) LODGE 1509","Sep 1, 2019",,,"PRIVATE"
"PETERSON WOODWORKING INC.",2392,"IL","CJA CHICAGO REGIONAL COUNCIL","May 31, 2019",,,"PRIVATE"
"PHILADELPHIA BOILERMAKERS EMPLOYERS",2006,"PA PHILADELPHIA","BOILERMAKERS AFL-CIO (BBF) LODGE 13","Sep 29, 2012","921190","1399","PRIVATE"
"PHILADELPHIA BOILERMAKERS EMPLOYERS",2007,"PA","BOILERMAKERS AFL-CIO (BBF) LODGE 13","Dec 31, 2015",,,"PRIVATE"
"PHILADELPHIA EXPOSITION SVC CONTRACTORS ASSOCIATION",928,"PA DE MD","CJA RC","Jul 31, 2004","23813","4500","PRIVATE"
"PHILADELPHIA GAS WORKS",530,"PA PHILADELPHIA","UWU 686","May 15, 2004","221210","1400","PRIVATE"
